attribute,mean,max,min
pubchem_f196,0.06397694524495677,1.0,0.0
pattern_c120,0.04380403458213256,1.0,0.0
pattern_c38,0.6270893371757925,1.0,0.0
_13-tautomerizable,0.6270893371757925,1.0,0.0
pattern_c55,0.2201729106628242,1.0,0.0
pattern_c161,0.15619596541786743,1.0,0.0
maccs_k113,0.2639769452449568,1.0,0.0
maccs_k059,0.040345821325648415,1.0,0.0
pubchem_f543,0.2276657060518732,1.0,0.0
pattern_c142,0.01095100864553314,1.0,0.0
allylic alcohol,0.061671469740634005,1.0,0.0
pubchem_f463,0.1244956772334294,1.0,0.0
pubchem_f538,0.1244956772334294,1.0,0.0
pubchem_f203,0.040345821325648415,1.0,0.0
pattern_c236,0.14697406340057637,1.0,0.0
pubchem_f605,0.21152737752161382,1.0,0.0
pattern_c118,0.03919308357348703,1.0,0.0
pubchem_f652,0.2426512968299712,1.0,0.0
pubchem_f607,0.2426512968299712,1.0,0.0
pubchem_f627,0.18847262247838617,1.0,0.0
pubchem_f590,0.18847262247838617,1.0,0.0
pubchem_f566,0.18904899135446687,1.0,0.0
pyridine,0.025360230547550433,1.0,0.0
maccs_k108,0.48818443804034584,1.0,0.0
maccs_k165,0.8276657060518732,1.0,0.0
cyclic,0.8276657060518732,1.0,0.0
phenolether_ortho_subs,0.06974063400576369,1.0,0.0
pubchem_f527,0.008645533141210375,1.0,0.0
aliph_carboxylic,0.2,1.0,0.0
pubchem_f383,0.23170028818443805,1.0,0.0
pubchem_f685,0.5014409221902018,1.0,0.0
pubchem_f542,0.24495677233429394,1.0,0.0
peptide,0.037463976945244955,1.0,0.0
pattern_c319,0.014985590778097982,1.0,0.0
pattern_c28,0.14466858789625361,1.0,0.0
alkylarylether,0.14466858789625361,1.0,0.0
pattern_c324,0.03400576368876081,1.0,0.0
maccs_k070,0.029971181556195964,1.0,0.0
phenolether_para_subs,0.07089337175792507,1.0,0.0
maccs_322_157,0.004034582132564841,1.0,0.0
maccs_k075,0.2403458213256484,1.0,0.0
maccs_322_029,0.37636887608069164,1.0,0.0
pattern_c84,0.37636887608069164,1.0,0.0
pubchem_f730,0.012103746397694525,1.0,0.0
pubchem_f793,0.012103746397694525,1.0,0.0
maccs_322_045,0.057060518731988474,1.0,0.0
pattern_c199,0.03054755043227666,1.0,0.0
pattern_c297,0.03054755043227666,1.0,0.0
thiophosphoric_acid_ester,0.0023054755043227667,1.0,0.0
pattern_c56,0.21729106628242076,1.0,0.0
pubchem_f001,0.9648414985590779,1.0,0.0
pubchem_f710,0.6703170028818444,1.0,0.0
pubchem_f424,0.027089337175792507,1.0,0.0
pubchem_f382,0.2685878962536023,1.0,0.0
pattern_c57,0.21902017291066284,1.0,0.0
pattern_c106,0.21902017291066284,1.0,0.0
